I_CD_POST_SIEGE;libel_crt;NV_CD_POST;ZE;;;;;;;;CD;;POLE;;;
73143;ALBERTVILLE;73290;8217;A73143;A8217;;;1001;8213;;A01001;1001;;;;A01001
73321;ALBERTVILLE;73257;8215;A73321;A8215;;;1002;8201;;A01002;1002;;;;A01002
73167;ALBERTVILLE;73235;8217;A73167;A8217;;;1004;8201;;A01003;1003;1165;;;A01003
73144;ALBERTVILLE;73290;8217;A73144;A8217;;;1005;8213;;A01004;1004;;;;A01004
73287;ALBERTVILLE;73290;8217;A73287;A8217;;;1006;8216;;A01005;1005;;;;A01005
81113;ALBI;81218;7311;A81113;A7311;;;1007;8201;;A01006;1006;;;;A01006
61246;ALENCON;61484;54;A61246;A0054;;;1008;8201;;A01007;1007;;;;A01007
61175;ALENCON;61341;51;A61175;A0051;;;1009;8216;;A01008;1008;;;;A01008
61325;ALENCON;61196;54;A61325;A0054;;;1010;8219;;A01009;1009;;;;A01009
61337;ALENCON;61309;54;A61337;A0054;;;1011;8203;;A01010;1010;;;;A01010
61430;ALENCON;61050;54;A61430;A0054;;;1012;8203;;A01011;1011;;;;A01011
61458;ALENCON;61230;51;A61458;A0051;;;1013;8201;;A01012;1012;;;;A01012
61226;ALENCON;61491;51;A61226;A0051;;;1014;8203;;A01013;1013;;;;A01013
49285;ANGERS;49301;5206;A49285;A5206;;;1015;8216;;A01014;1014;;;;A01014
49075;ANGERS;49244;5205;A49075;A5205;;;1016;53;;A01015;1015;;;;A01015
49276;ANGERS;49244;5205;A49276;A5205;;;1017;8201;;A01016;1016;;;;A01016
49066;ANGERS;49345;5205;A49066;A5205;;;1019;8203;;A01017;1017;;;;A01017
49320;ANGERS;49069;5203;A49320;A5203;;;1021;8213;;A01018;1018;1033;;;A01018
49360;ANGERS;49069;5203;A49360;A5203;;;1022;8216;;A01019;1019;;;;A01019
49239;ANGERS;49023;5206;A49239;A5206;;;1023;53;;A01020;1020;1125;;;A01020
49169;ANGERS;49092;5206;A49169;A5206;;;1024;8202;;A01021;1021;;;;A01021
49238;ANGERS;49323;5205;A49238;A5205;;;1025;53;;A01022;1022;;;;A01022
49004;ANGERS;49307;5205;A49004;A5205;;;1026;53;;A01023;1023;;;;A01023
49165;ANGERS;49023;5206;A49165;A5206;;;1027;8214;;A01024;1024;;;;A01024
49351;ANGERS;49092;5206;A49351;A5206;;;1028;8213;;A01025;1025;;;;A01025
49179;ANGERS;49301;5206;A49179;A5206;;;1029;8202;;A01026;1026;;;;A01026
49162;ANGERS;49023;5206;A49162;A5206;;;1030;8213;;A01027;1027;;;;A01027
49264;ANGERS;49301;5206;A49264;A5206;;;1031;8203;;A01028;1028;;;;A01028
49375;ANGERS;49023;5206;A49375;A5206;;;1032;8214;;A01029;1029;;;;A01029
49151;ANGERS;49023;5206;A49151;A5206;;;1033;8219;;A01030;1030;;;;A01030
49103;ANGERS;49248;5208;A49103;A5208;;;1034;8216;;A01031;1031;;;;A01031
49105;ANGERS;49065;5205;A49105;A5205;;;1035;8203;;A01032;1032;;;;A01032
49074;ANGERS;49092;5206;A49074;A5206;;;1036;8216;;A01033;1033;;;;A01033
49172;ANGERS;49069;5203;A49172;A5203;;;1037;8201;;A01034;1034;;;;A01034
49145;ANGERS;49218;5206;A49145;A5206;;;1038;8202;;A01035;1035;;;;A01035
49277;ANGERS;49331;5208;A49277;A5208;;;1039;8216;;A01036;1036;;;;A01036
49335;ANGERS;49065;5205;A49335;A5205;;;1040;8202;;A01037;1037;;;;A01037
49212;ANGERS;49244;5205;A49212;A5205;;;1041;8201;;A01038;1038;;;;A01038
49034;ANGERS;49244;5205;A49034;A5205;;;1042;53;;A01039;1039;;;;A01039
49354;ANGERS;49248;5208;A49354;A5208;;;1043;8214;;A01040;1040;;;;A01040
49190;ANGERS;49244;5205;A49190;A5205;;;1044;8219;;A01041;1041;;;;A01041
49350;ANGERS;49301;5206;A49350;A5206;;;1045;8214;;A01042;1042;;;;A01042
49252;ANGERS;49218;5206;A49252;A5206;;;1046;53;;A01043;1043;;;;A01043
49037;ANGERS;49331;5208;A49037;A5208;;;1047;8201;;A01044;1044;;;;A01044
49290;ANGERS;49167;5205;A49290;A5205;;;1049;8214;;A01045;1045;;;;A01045
49243;ANGERS;49023;5206;A49243;A5206;;;1050;53;;A01046;1046;;;;A01046
49081;ANGERS;49331;5208;A49081;A5208;;;1051;8203;;A01047;1047;;;;A01047
49072;ANGERS;49023;5206;A49072;A5206;;;1052;8214;;A01048;1048;1245;;;A01048
49263;ANGERS;49301;5206;A49263;A5206;;;1053;8202;;A01049;1049;;;;A01049
49313;ANGERS;49218;5206;A49313;A5206;;;1054;8201;;A01050;1050;;;;A01050
49126;ANGERS;49069;5203;A49126;A5203;;;1056;8201;;A01051;1051;;;;A01051
49051;ANGERS;49065;5205;A49051;A5205;;;1057;53;;A01052;1052;;;;A01052
49196;ANGERS;49200;5205;A49196;A5205;;;1058;8209;;A01053;1053;;;;A01053
49039;ANGERS;49244;5205;A49039;A5205;;;1059;8216;;A01053;1053;;;;A01053
49254;ANGERS;49065;5205;A49254;A5205;;;1060;8203;;A01053;1053;;;;A01053
49295;ANGERS;49244;5205;A49295;A5205;;;1061;8216;;A01054;1054;;;;A01054
49134;ANGERS;49345;5205;A49134;A5205;;;1062;8214;;A01055;1055;1283;;;A01055
49085;ANGERS;49218;5206;A49085;A5206;;;1063;8203;;A01056;1056;;;;A01056
49042;ANGERS;49307;5205;A49042;A5205;;;1064;8201;;A01057;1057;;;;A01057
49001;ANGERS;49050;5205;A49001;A5205;;;1065;8202;;A01058;1058;;;;A01058
49153;ANGERS;49092;5206;A49153;A5206;;;1066;8201;;A01059;1059;;;;A01059
49318;ANGERS;49050;5205;A49318;A5205;;;1067;8203;;A01060;1060;;;;A01060
49363;ANGERS;49050;5205;A49363;A5205;;;1068;8201;;A01061;1061;;;;A01061
49177;ANGERS;49069;5203;A49177;A5203;;;1069;8202;;A01062;1062;;;;A01062
49227;ANGERS;49086;5205;A49227;A5205;;;1071;8219;;A01063;1063;;;;A01063
49117;ANGERS;49307;5205;A49117;A5205;;;1072;8202;;A01064;1064;;;;A01064
49296;ANGERS;49069;5203;A49296;A5203;;;1073;8216;;A01065;1065;;;;A01065
49314;ANGERS;49218;5206;A49314;A5206;;;1074;8214;;A01066;1066;;;;A01066
49088;ANGERS;49248;5208;A49088;A5208;;;1075;8213;;A01067;1067;;;;A01067
49184;ANGERS;49331;5208;A49184;A5208;;;1076;8201;;A01068;1068;;;;A01068
49281;ANGERS;49092;5206;A49281;A5206;;;1077;8201;;A01069;1069;;;;A01069
49270;ANGERS;49069;5203;A49270;A5203;;;1078;8219;;A01070;1070;1165;;;A01070
49077;ANGERS;49331;5208;A49077;A5208;;;1079;8216;;A01071;1071;;;;A01071
49327;ANGERS;49050;5205;A49327;A5205;;;1080;8203;;A01072;1072;;;;A01072
49206;ANGERS;49301;5206;A49206;A5206;;;1081;8219;;A01073;1073;;;;A01073
49229;ANGERS;49331;5208;A49229;A5208;;;1082;8219;;A01074;1074;;;;A01074
49006;ANGERS;49023;5206;A49006;A5206;;;1083;8213;;A01075;1075;;;;A01075
74182;ANNECY;74010;8218;A74182;A8218;;;1084;8202;;A01076;1076;;;;A01076
74093;ANNECY;74010;8218;A74093;A8218;;;1085;8213;;A01077;1077;;;;A01077
74268;ANNECY;74010;8218;A74268;A8218;;;1087;8203;;A01078;1078;;;;A01078
74217;ANNECY;74010;8218;A74217;A8218;;;1088;8201;;A01079;1079;;;;A01079
74011;ANNECY;74010;8218;A74011;A8218;;;1089;8201;;A01080;1080;;;;A01080
74181;ANNECY;74112;8218;A74181;A8218;;;1090;8214;;A01081;1081;;;;A01081
74084;ANNECY;74167;8218;A74084;A8218;;;1091;8219;;A01082;1082;;;;A01082
74120;ANNECY;74282;8218;A74120;A8218;;;1092;8201;;A01083;1083;;;;A01083
74245;ANNECY;74282;8218;A74245;A8218;;;1093;8213;;A01084;1084;;;;A01084
74270;ANNECY;74123;8218;A74270;A8218;;;1094;53;;A01085;1085;;;;A01085
74022;ANNECY;74282;8218;A74022;A8218;;;1095;8202;;A01086;1086;1414;;;A01086
61173;ARGENTAN;61153;2511;A61173;A2511;;;1096;8202;;A01087;1087;;;;A01087
61083;ARGENTAN;61474;2511;A61083;A2511;;;1097;8216;;A01088;1088;;;;A01088
61511;ARGENTAN;61375;2511;A61511;A2511;;;1098;8216;;A01089;1089;;;;A01089
61496;ARGENTAN;61474;2511;A61496;A2511;;;1099;8201;;A01090;1090;;;;A01090
61249;ARGENTAN;61375;2511;A61249;A2511;;;1100;8216;;A01091;1091;;;;A01091
15035;AURILLAC;15141;8306;A15035;A8306;;;1101;8203;;A01092;1092;;;;A01092
14481;BAYEUX;14342;2501;A14481;A2501;;;1102;53;;A01093;1093;;;;A01093
14372;BAYEUX;14143;2502;A14372;A2502;;;1103;8219;;A01094;1094;;;;A01094
60417;BEAUVAIS;60570;2207;A60417;A2207;;;1104;8219;;A01095;1095;;;;A01095
1340;BELLEY;1015;8216;A01340;A8216;;;1105;8214;;A01096;1096;;;;A01096
24497;BERGERAC;24028;7201;A24497;A7201;;;1106;8202;;A01097;1097;;;;A01097
27041;BERNAY;27049;2301;A27041;A2301;;;1107;8201;;A01098;1098;;;;A01098
27131;BERNAY;27425;2301;A27131;A2301;;;1108;8202;;A01099;1099;;;;A01099
27452;BERNAY;27425;2301;A27452;A2301;;;1109;8219;;A01100;1100;;;;A01100
27253;BERNAY;27425;2301;A27253;A2301;;;1110;8216;;A01101;1101;;;;A01101
27515;BERNAY;27049;2301;A27515;A2301;;;1111;8201;;A01102;1102;;;;A01102
25034;BESANCON;25035;4301;A25034;A4301;;;1112;8203;;A01103;1103;;;;A01103
25123;BESANCON;25222;4301;A25123;A4301;;;1113;8202;;A01104;1104;;;;A01104
25028;BESANCON;25424;4301;A25028;A4301;;;1114;8219;;A01105;1105;;;;A01105
25585;BESANCON;25424;4301;A25585;A4301;;;1115;8202;;A01106;1106;;;;A01106
25587;BESANCON;25078;4301;A25587;A4301;;;1116;8216;;A01107;1107;;;;A01107
25480;BESANCON;25424;4301;A25480;A4301;;;1117;8216;;A01108;1108;;;;A01108
25076;BESANCON;25434;4301;A25076;A4301;;;1118;8219;;A01109;1109;;;;A01109
25593;BESANCON;25147;4301;A25593;A4301;;;1121;8203;;A01110;1110;;;;A01110
25530;BESANCON;25529;4302;A25530;A4302;;;1122;8203;;A01111;1111;;;;A01111
41270;BLOIS;41173;2418;A41270;A2418;;;1123;53;;A01112;1112;;;;A01112
41197;BLOIS;41248;2415;A41197;A2415;;;1124;8202;;A01113;1113;;;;A01113
41023;BLOIS;41151;2413;A41023;A2413;;;1125;8203;;A01114;1114;;;;A01114
41240;BLOIS;41055;2413;A41240;A2413;;;1127;8202;;A01115;1115;;;;A01115
41272;BLOIS;41167;2413;A41272;A2413;;;1128;8202;;A01116;1116;;;;A01116
41005;BLOIS;41248;2415;A41005;A2415;;;1129;8201;;A01117;1117;;;;A01117
41064;BLOIS;41055;2413;A41064;A2413;;;1130;8202;;A01118;1118;;;;A01118
33495;BORDEAUX;33018;7204;A33495;A7204;;;1133;8216;;A01119;1119;1080;;;A01119
33091;BORDEAUX;33268;7204;A33091;A7204;;;1134;53;;A01120;1120;1262;;;A01120
1300;BOURG EN BRESSE;1204;8203;A01300;A8203;;;1135;8219;;A01121;1121;;;;A01121
1144;BOURG EN BRESSE;1025;53;A01144;A0053;;;1136;53;;A01122;1122;;;;A01122
38165;BOURGOIN JALLIEU;38001;8209;A38165;A8209;;;1138;8216;;A01123;1123;;;;A01123
38541;BOURGOIN JALLIEU;38022;8209;A38541;A8209;;;1139;8202;;A01124;1124;;;;A01124
38305;BOURGOIN JALLIEU;38292;8210;A38305;A8210;;;1140;8202;;A01125;1125;;;;A01125
38014;BOURGOIN JALLIEU;38297;8209;A38014;A8209;;;1141;8216;;A01126;1126;1033;;;A01126
38028;BOURGOIN JALLIEU;38001;8209;A38028;A8209;;;1142;8214;;A01127;1127;;;;A01127
29203;BREST;29021;5306;A29203;A5306;;;1143;8219;;A01128;1128;;;;A01128
29149;BREST;29076;5306;A29149;A5306;;;1145;8214;;A01129;1129;;;;A01129
54342;BRIEY;54099;4107;A54342;A4107;;;1146;8213;;A01130;1130;;;;A01130
14164;CAEN;14349;2502;A14164;A2502;;;1147;8202;;A01131;1131;1189;;;A01131
14666;CAEN;14712;2502;A14666;A2502;;;1148;8203;;A01132;1132;69274;;;A01132
14702;CAEN;14475;2502;A14702;A2502;;;1149;8201;;A01133;1133;;;;A01133
14324;CAEN;14689;2502;A14324;A2502;;;1150;8202;;A01134;1134;;;;A01134
14186;CAEN;14406;2502;A14186;A2502;;;1151;8201;;A01135;1135;;;;A01135
46287;CAHORS;46103;7308;A46287;A7308;;;1152;8203;;A01136;1136;;;;A01136
46048;CAHORS;46311;57;A46048;A0057;;;1153;8219;;A01137;1137;1426;;;A01137
73239;CHAMBERY;73010;8218;A73239;A8218;;;1154;8202;;A01138;1138;;;;A01138
73158;CHAMBERY;73010;8218;A73158;A8218;;;1155;8201;;A01139;1139;;;;A01139
73108;CHAMBERY;73010;8218;A73108;A8218;;;1156;8201;;A01140;1140;;;;A01140
8441;CHARLEVILLE MEZIERES;8198;2101;A08441;A2101;;;1157;8213;;A01141;1141;;;;A01141
28204;CHARTRES;28012;2405;A28204;A2405;;;1158;8219;;A01142;1142;;;;A01142
28224;CHARTRES;28330;2405;A28224;A2405;;;1159;53;;A01143;1143;;;;A01143
28133;CHARTRES;28103;2405;A28133;A2405;;;1160;8219;;A01144;1144;1025;;;A01144
28093;CHARTRES;28012;2405;A28093;A2405;;;1162;8216;;A01145;1145;;;;A01145
28115;CHARTRES;28012;2405;A28115;A2405;;;1163;8202;;A01146;1146;;;;A01146
28101;CHARTRES;28330;2405;A28101;A2405;;;1165;8213;;A01147;1147;;;;A01147
28340;CHARTRES;28103;2405;A28340;A2405;;;1166;8213;;A01148;1148;;;;A01148
28017;CHARTRES;28103;2405;A28017;A2405;;;1167;53;;A01149;1149;;;;A01149
28258;CHARTRES;28422;2404;A28258;A2404;;;1169;8213;;A01150;1150;;;;A01150
36201;CHATEAUROUX;36093;2409;A36201;A2409;;;1170;8203;;A01151;1151;;;;A01151
50602;CHERBOURG;50129;2507;A50602;A2507;;;1171;8203;;A01152;1152;;;;A01152
50173;CHERBOURG;50129;2507;A50173;A2507;;;1173;8219;;A01153;1153;;;;A01153
50203;CHERBOURG;50129;2507;A50203;A2507;;;1174;8219;;A01154;1154;;;;A01154
50418;CHERBOURG;50082;2507;A50418;A2507;;;1175;53;;A01155;1155;;;;A01155
50187;CHERBOURG;50041;2507;A50187;A2507;;;1177;8202;;A01156;1156;;;;A01156
50620;CHERBOURG;50041;2507;A50620;A2507;;;1179;53;;A01157;1157;;;;A01157
50416;CHERBOURG;50129;2507;A50416;A2507;;;1180;8219;;A01158;1158;;;;A01158
50611;CHERBOURG;50041;2507;A50611;A2507;;;1181;8203;;A01159;1159;;;;A01159
50623;CHERBOURG;50041;2507;A50623;A2507;;;1183;8213;;A01160;1160;;;;A01160
50127;CHERBOURG;50523;2507;A50127;A2507;;;1184;8202;;A01161;1161;1414;;;A01161
16328;COGNAC;16230;5403;A16328;A5403;;;1185;8203;;A01162;1162;;;;A01162
68310;COLMAR;68162;4207;A68310;A4207;;;1186;8201;;A01163;1163;;;;A01163
68164;COLMAR;68162;4207;A68164;A4207;;;1187;8203;;A01164;1164;1104;;;A01164
14388;CONDE SUR NOIREAU;14762;2505;A14388;A2505;;;1188;8213;;A01165;1165;;;;A01165
14513;CONDE SUR NOIREAU;50649;2510;A14513;A2510;;;1189;8219;;A01166;1166;;;;A01166
14253;CONDE SUR NOIREAU;14726;2505;A14253;A2505;;;1190;8209;;A01167;1167;;;;A01167
61465;CONDE SUR NOIREAU;61007;2512;A61465;A2512;;;1191;8203;;A01168;1168;69278;;;A01168
14618;CONDE SUR NOIREAU;14061;2505;A14618;A2505;;;1192;8203;;A01169;1169;;;;A01169
14317;CONDE SUR NOIREAU;14061;2505;A14317;A2505;;;1193;8209;;A01170;1170;;;;A01170
14545;CONDE SUR NOIREAU;14762;2505;A14545;A2505;;;1194;8213;;A01171;1171;;;;A01171
61201;CONDE SUR NOIREAU;61145;2512;A61201;A2512;;;1195;8202;;A01172;1172;1095;;;A01172
61031;CONDE SUR NOIREAU;61486;2512;A61031;A2512;;;1196;8202;;A01173;1173;;;;A01173
61377;CONDE SUR NOIREAU;61486;2512;A61377;A2512;;;1197;8202;;A01174;1174;;;;A01174
14730;CONDE SUR NOIREAU;14762;2505;A14730;A2505;;;1198;8201;;A01175;1175;;;;A01175
14268;CONDE SUR NOIREAU;14005;2502;A14268;A2502;;;1199;8201;;A01176;1176;1187;;;A01176
50043;COUTANCES;50260;2506;A50043;A2506;;;1200;8203;;A01177;1177;;;;A01177
50625;COUTANCES;50582;2505;A50625;A2505;;;1202;8201;;A01178;1178;1240;;;A01178
50558;COUTANCES;50236;2508;A50558;A2508;;;1203;53;;A01179;1179;;;;A01179
50330;COUTANCES;50236;2508;A50330;A2508;;;1204;8203;;A01180;1180;;;;A01180
50180;COUTANCES;50592;2510;A50180;A2510;;;1205;8219;;A01181;1181;;;;A01181
50644;COUTANCES;50484;2506;A50644;A2506;;;1206;8203;;A01182;1182;1338;;;A01182
50202;COUTANCES;50601;2510;A50202;A2510;;;1207;8213;;A01183;1183;;;;A01183
50224;COUTANCES;50601;2510;A50224;A2510;;;1208;8216;;A01184;1184;;;;A01184
50250;COUTANCES;50400;2507;A50250;A2507;;;1209;8219;;A01185;1185;;;;A01185
50470;COUTANCES;50564;2507;A50470;A2507;;;1210;8219;;A01186;1186;;;;A01186
50213;COUTANCES;50546;2510;A50213;A2510;;;1211;8202;;A01187;1187;;;;A01187
50494;COUTANCES;50359;2506;A50494;A2506;;;1212;8202;;A01188;1188;;;;A01188
50440;COUTANCES;50639;2506;A50440;A2506;;;1213;8201;;A01189;1189;;;;A01189
50329;COUTANCES;50391;2506;A50329;A2506;;;1214;8203;;A01190;1190;;;;A01190
76137;DIEPPE;76618;2305;A76137;A2305;;;1215;8219;;A01191;1191;;;;A01191
76073;DIEPPE;76618;2305;A76073;A2305;;;1216;8209;;A01192;1192;;;;A01192
76081;DIEPPE;76618;2305;A76081;A2305;;;1218;8216;;A01193;1193;;;;A01193
22123;DINAN;22050;5301;A22123;A5301;;;1219;8201;;A01194;1194;;;;A01194
22357;DINAN;22209;5301;A22357;A5301;;;1221;8203;;A01195;1195;;;;A01195
22051;DINAN;22084;5305;A22051;A5305;;;1224;8214;;A01196;1196;;;;A01196
59154;DUNKERQUE;59588;3112;A59154;A3112;;;1225;8213;;A01197;1197;;;;A01197
59404;DUNKERQUE;59260;3112;A59404;A3112;;;1227;8216;;A01198;1198;;;;A01198
88204;EPINAL;88465;4112;A88204;A4112;;;1228;8203;;A01199;1199;;;;A01199
27449;EVREUX;27213;2304;A27449;A2304;;;1229;8202;;A01200;1200;;;;A01200
27265;EVREUX;27679;2302;A27265;A2302;;;1230;8202;;A01201;1201;1185;;;A01201
27197;EVREUX;27213;2304;A27197;A2304;;;1231;53;;A01202;1202;;;;A01202
27166;EVREUX;27198;2302;A27166;A2302;;;1232;8202;;A01203;1203;;;;A01203
27510;EVREUX;27448;2302;A27510;A2302;;;1233;8209;;A01204;1204;;;;A01204
27058;EVREUX;27676;2304;A27058;A2304;;;1234;8216;;A01205;1205;;;;A01205
27150;EVREUX;27554;2304;A27150;A2304;;;1235;8213;;A01206;1206;;;;A01206
27653;EVREUX;27213;2304;A27653;A2304;;;1236;8202;;A01207;1207;;;;A01207
27519;EVREUX;27022;2304;A27519;A2304;;;1237;8203;;A01208;1208;;;;A01208
27122;EVREUX;27213;2304;A27122;A2304;;;1238;8213;;A01209;1209;;;;A01209
27024;EVREUX;27198;2302;A27024;A2302;;;1239;8216;;A01210;1210;;;;A01210
27160;EVREUX;27213;2304;A27160;A2304;;;1240;8203;;A01211;1211;;;;A01211
27573;EVREUX;27578;2302;A27573;A2302;;;1241;8202;;A01212;1212;;;;A01212
27634;EVREUX;27032;2302;A27634;A2302;;;1242;8201;;A01213;1213;;;;A01213
5043;GAP;5039;9304;A05043;A9304;;;1243;8213;;A01214;1214;;;;A01214
5069;GAP;5053;9301;A05069;A9301;;;1244;8201;;A01215;1215;;;;A01215
5175;GAP;5101;9303;A05175;A9303;;;1245;8202;;A01216;1216;;;;A01216
38021;GRENOBLE;38225;8210;A38021;A8210;;;1246;8202;;A01217;1217;1079;;;A01217
38534;GRENOBLE;38253;8210;A38534;A8210;;;1247;8219;;A01218;1218;;;;A01218
38312;GRENOBLE;38407;8210;A38312;A8210;;;1248;8214;;A01219;1219;;;;A01219
23231;GUERET;23192;7403;A23231;A7403;;;1249;8214;;A01220;1220;1185;;;A01220
89192;JOIGNY;89086;2612;A89192;A2612;;;1250;8213;;A01221;1221;;;;A01221
89366;JOIGNY;89388;2612;A89366;A2612;;;1252;8213;;A01222;1222;1185;;;A01222
89078;JOIGNY;89003;2612;A89078;A2612;;;1254;8202;;A01223;1223;1450;;;A01223
89454;JOIGNY;89086;2612;A89454;A2612;;;1255;8201;;A01224;1224;;;;A01224
89138;JOIGNY;89086;2612;A89138;A2612;;;1257;8219;;A01225;1225;;;;A01225
85052;LA ROCHE SUR YON;85152;5218;A85052;A5218;;;1258;8213;;A01226;1226;1036;;;A01226
85069;LA ROCHE SUR YON;85008;5218;A85069;A5218;;;1259;8202;;A01227;1227;;;;A01227
85043;LA ROCHE SUR YON;85213;5218;A85043;A5218;;;1260;8214;;A01228;1228;;;;A01228
85212;LA ROCHE SUR YON;85084;5218;A85212;A5218;;;1261;8213;;A01229;1229;;;;A01229
85279;LA ROCHE SUR YON;85019;5218;A85279;A5218;;;1262;8214;;A01230;1230;;;;A01230
85257;LA ROCHE SUR YON;85090;5217;A85257;A5217;;;1263;8213;;A01231;1231;;;;A01231
85272;LA ROCHE SUR YON;85197;5203;A85272;A5203;;;1264;8202;;A01232;1232;;;;A01232
85180;LA ROCHE SUR YON;85090;5217;A85180;A5217;;;1265;8203;;A01233;1233;;;;A01233
85150;LA ROCHE SUR YON;85197;5203;A85150;A5203;;;1266;8202;;A01234;1234;;;;A01234
85091;LA ROCHE SUR YON;85080;5216;A85091;A5216;;;1267;8203;;A01235;1235;;;;A01235
53194;LAVAL;53137;5209;A53194;A5209;;;1268;8216;;A01236;1236;;;;A01236
72159;LE MANS;72262;5212;A72159;A5212;;;1269;8203;;A01237;1237;;;;A01237
72108;LE MANS;72025;5212;A72108;A5212;;;1272;8213;;A01238;1238;;;;A01238
14075;LISIEUX;14410;2502;A14075;A2502;;;1273;8201;;A01239;1239;;;;A01239
14600;LISIEUX;14431;2502;A14600;A2502;;;1274;8203;;A01240;1240;;;;A01240
14153;LISIEUX;14576;2504;A14153;A2504;;;1275;8214;;A01241;1241;;;;A01241
14099;LISIEUX;14654;2502;A14099;A2502;;;1276;8214;;A01242;1242;;;;A01242
14429;LISIEUX;14371;2504;A14429;A2504;;;1277;8201;;A01243;1243;;;;A01243
14697;LISIEUX;14654;2502;A14697;A2502;;;1279;8201;;A01244;1244;;;;A01244
14359;LISIEUX;14431;2502;A14359;A2502;;;1280;8201;;A01245;1245;;;;A01245
14201;LISIEUX;14431;2502;A14201;A2502;;;1281;8219;;A01246;1246;;;;A01246
14422;LISIEUX;14431;2502;A14422;A2502;;;1282;8203;;A01247;1247;;;;A01247
39482;LONS LE SAUNIER;39017;4306;A39482;A4306;;;1283;8203;;A01248;1248;;;;A01248
39023;LONS LE SAUNIER;39378;4306;A39023;A4306;;;1284;53;;A01249;1249;;;;A01249
39442;LONS LE SAUNIER;39130;4307;A39442;A4307;;;1285;8213;;A01250;1250;;;;A01250
39215;LONS LE SAUNIER;39021;4306;A39215;A4306;;;1286;8216;;A01251;1251;1313;;;A01251
56192;LORIENT;56144;5317;A56192;A5317;;;1288;8219;;A01252;1252;;;;A01252
69381;LYON;69123;8214;A69381;A8214;;;1289;8202;;A01253;1253;1450;;;A01253
69389;LYON;69123;8214;A69389;A8214;;;1290;8201;;A01254;1254;;;;A01254
69388;LYON;69123;8214;A69388;A8214;;;1291;53;;A01255;1255;;;;A01255
69382;LYON;69123;8214;A69382;A8214;;;1293;8203;;A01256;1256;69284;;;A01256
69387;LYON;69123;8214;A69387;A8214;;;1294;8216;;A01257;1257;;;;A01257
69383;LYON;69123;8214;A69383;A8214;;;1295;8213;;A01258;1258;;;;A01258
69385;LYON;69123;8214;A69385;A8214;;;1296;8202;;A01259;1259;;;;A01259
69386;LYON;69123;8214;A69386;A8214;;;1297;8214;;A01260;1260;;;;A01260
69048;LYON;69179;8214;A69048;A8214;;;1298;8219;;A01261;1261;;;;A01261
69384;LYON;69123;8214;A69384;A8214;;;1299;8214;;A01262;1262;;;;A01262
69213;LYON;69179;8214;A69213;A8214;;;1301;8202;;A01263;1263;;;;A01263
71180;MACON;71582;53;A71180;A0053;;;1302;8216;;A01264;1264;;;;A01264
72318;MAMERS;72137;51;A72318;A0051;;;1303;8201;;A01265;1265;;;;A01265
13201;MARSEILLE;13055;9310;A13201;A9310;;;1304;8201;;A01266;1266;;;;A01266
13209;MARSEILLE;13055;9310;A13209;A9310;;;1305;53;;A01267;1267;;;;A01267
13206;MARSEILLE;13055;9310;A13206;A9310;;;1306;53;;A01268;1268;;;;A01268
13207;MARSEILLE;13055;9310;A13207;A9310;;;1307;8203;;A01269;1269;;;;A01269
13213;MARSEILLE;13055;9310;A13213;A9310;;;1308;8219;;A01270;1270;1410;;;A01270
13216;MARSEILLE;13055;9310;A13216;A9310;;;1309;8202;;A01271;1271;1286;;;A01271
13204;MARSEILLE;13055;9310;A13204;A9310;;;1310;8216;;A01272;1272;;;;A01272
13214;MARSEILLE;13055;9310;A13214;A9310;;;1311;8203;;A01273;1273;;;;A01273
13203;MARSEILLE;13055;9310;A13203;A9310;;;1313;8219;;A01274;1274;;;;A01274
13202;MARSEILLE;13055;9310;A13202;A9310;;;1314;8201;;A01275;1275;;;;A01275
13208;MARSEILLE;13055;9310;A13208;A9310;;;1317;8202;;A01276;1276;;;;A01276
13212;MARSEILLE;13055;9310;A13212;A9310;;;1318;8213;;A01277;1277;;;;A01277
13210;MARSEILLE;13055;9310;A13210;A9310;;;1319;8213;;A01278;1278;1091;;;A01278
13215;MARSEILLE;13055;9310;A13215;A9310;;;1320;53;;A01279;1279;;;;A01279
13211;MARSEILLE;13055;9310;A13211;A9310;;;1321;8202;;A01280;1280;;;;A01280
13205;MARSEILLE;13055;9310;A13205;A9310;;;1322;8213;;A01281;1281;;;;A01281
48049;MENDE;48099;9113;A48049;A9113;;;1323;53;;A01282;1282;;;;A01282
77491;MONTEREAU;77316;1105;A77491;A1105;;;1325;8201;;A01283;1283;;;;A01283
77166;MONTEREAU;77316;1105;A77166;A1105;;;1328;8213;;A01284;1284;;;;A01284
68070;MULHOUSE;68056;4208;A68070;A4208;;;1329;8216;;A01285;1285;;;;A01285
44004;NANTES;44163;5201;A44004;A5201;;;1330;8203;;A01286;1286;;;;A01286
44093;NANTES;44180;5201;A44093;A5201;;;1331;8201;;A01287;1287;1079;;;A01287
44181;NANTES;44087;5203;A44181;A5203;;;1332;53;;A01288;1288;;;;A01288
44219;NANTES;44180;5201;A44219;A5201;;;1333;8214;;A01289;1289;;;;A01289
44008;NANTES;44029;5203;A44008;A5203;;;1334;53;;A01290;1290;;;;A01290
44011;NANTES;44213;5201;A44011;A5201;;;1335;8213;;A01291;1291;;;;A01291
44191;NANTES;44180;5201;A44191;A5201;;;1336;8202;;A01292;1292;1187;;;A01292
