"I_CD_POST_SIEGE";"distance_TC";"distance_TCABS"
"15049";37.5783591779304;37.5783591779304
"15133";37.7681155812642;37.7681155812642
"15257";17.2275941857942;17.2275941857942
"15096";16.0316044196199;16.0316044196199
"15095";13.0223224398884;13.0223224398884
"15182";15.8769983102679;15.8769983102679
"15222";19.9700721527211;19.9700721527211
"15223";42.5629941135181;42.5629941135181
"15224";18.7188853310902;18.7188853310902
"15056";7.35503143362666;7.35503143362666
"15215";6.66240504917598;6.66240504917598
"15019";43.5050953578683;43.5050953578683
"15017";14.7742947165971;14.7742947165971
"15146";21.0597396424199;21.0597396424199
"15101";33.4546662823653;33.4546662823653
"15041";41.9128512440082;41.9128512440082
"15038";54.7964136084517;54.7964136084517
"15178";18.2372032069889;18.2372032069889
"15050";32.2721153246939;32.2721153246939
"15220";29.4306601143666;29.4306601143666
"15168";62.3342889031201;62.3342889031201
"15098";64.3989573373379;64.3989573373379
"15040";58.9928502952164;58.9928502952164
"15001";52.7583037356963;52.7583037356963
"15065";39.0812262529629;39.0812262529629
"15071";30.3501454212564;30.3501454212564
"15087";16.8528796159265;16.8528796159265
"15254";44.3793042270866;44.3793042270866
"15121";50.9494777999262;50.9494777999262
"15167";23.2010806936381;23.2010806936381
"15195";60.0887101282931;60.0887101282931
"15217";15.3815244441154;15.3815244441154
"15125";57.8399050664368;57.8399050664368
"15057";26.8337828458622;26.8337828458622
"16336";27.7310952021347;27.7310952021347
"16322";60.8354161199058;60.8354161199058
"16250";27.1895314293882;27.1895314293882
"16326";27.0952908723261;27.0952908723261
"16232";12.2321669562854;12.2321669562854
"16082";18.329841226025;18.329841226025
"16372";28.3405292978973;28.3405292978973
"16046";21.7197545668048;21.7197545668048
"16175";18.8063808067965;18.8063808067965
"16248";32.6570273634959;32.6570273634959
"16101";13.1187600319527;13.1187600319527
"16404";44.8614206337482;44.8614206337482
"16325";36.2996514031551;36.2996514031551
"16403";42.9116557504492;42.9116557504492
"16242";42.2289366195381;42.2289366195381
"16206";25.8637572474108;25.8637572474108
"16261";25.3683981094735;25.3683981094735
"16281";21.6007469631135;21.6007469631135
"16321";37.7992883369093;37.7992883369093
"16245";39.434907523808;39.434907523808
"16374";4.86478406043586;4.86478406043586
"16086";53.8834194829634;53.8834194829634
"16371";27.3018551946501;27.3018551946501
"16409";40.7560086034468;40.7560086034468
"16009";48.4451062288347;48.4451062288347
"16285";20.3976619417085;20.3976619417085
"16039";45.0540182371885;45.0540182371885
"16370";10.2370631226661;10.2370631226661
"16121";12.9703645965894;12.9703645965894
"16418";6.11057140529347;6.11057140529347
"16258";20.6489826733734;20.6489826733734
"16077";10.9064263787207;10.9064263787207
"16001";67.0138885563372;67.0138885563372
"16408";21.5915887788183;21.5915887788183
"16019";10.0849756961639;10.0849756961639
"16257";22.8124492375216;22.8124492375216
"16300";23.3196380273637;23.3196380273637
"16425";26.8433656217093;26.8433656217093
"16011";14.3365600416056;14.3365600416056
"16329";42.8721404829571;42.8721404829571
"16392";29.3835971748284;29.3835971748284
"16114";33.5311066228562;33.5311066228562
"16421";23.6052307835662;23.6052307835662
"16110";37.6329580538349;37.6329580538349
"16394";26.6989542064708;26.6989542064708
"16094";32.98679802907;32.98679802907
"16381";46.0922761650125;46.0922761650125
"16084";24.9041222527463;24.9041222527463
"16383";16.635863510451;16.635863510451
"16231";70.0083805505941;70.0083805505941
"16356";34.9507571544478;34.9507571544478
"16283";22.4082767229595;22.4082767229595
"16038";49.6309956231437;49.6309956231437
"16115";25.0413238317377;25.0413238317377
"16155";38.6376580537972;38.6376580537972
"16239";39.8393503110311;39.8393503110311
"16244";6.91033309962468;6.91033309962468
"16282";21.1098771222565;21.1098771222565
"16106";57.4407647223268;57.4407647223268
"16109";28.9783412320442;28.9783412320442
"16093";17.1304007669532;17.1304007669532
"16044";43.7252412396513;43.7252412396513
"16087";37.9607978206582;37.9607978206582
"16085";30.2951108381979;30.2951108381979
"16002";48.1712577046244;48.1712577046244
"16007";50.9452865330838;50.9452865330838
"16131";61.4162728439683;61.4162728439683
"16209";24.23641054407;24.23641054407
"16423";19.8512499600266;19.8512499600266
"16107";21.1408986718746;21.1408986718746
"16241";22.6766092060847;22.6766092060847
"16323";20.968027632426;20.968027632426
"16201";17.4252107237851;17.4252107237851
"16132";56.5355668543931;56.5355668543931
"16337";56.020126618259;56.020126618259
"16292";43.7937035723611;43.7937035723611
"16017";29.1505802999586;29.1505802999586
"16021";20.4712833045661;20.4712833045661
"16223";28.0854276061992;28.0854276061992
"16100";51.3506776909494;51.3506776909494
"16182";64.5756839031421;64.5756839031421
"16237";27.6244456749437;27.6244456749437
"16157";40.267905626804;40.267905626804
"16353";23.811023327336;23.811023327336
"16095";33.5350381530237;33.5350381530237
"16376";43.3581097453584;43.3581097453584
"16173";31.0177732451067;31.0177732451067
"16069";24.1271726858536;24.1271726858536
"16312";19.262475759847;19.262475759847
"16033";31.4523705959273;31.4523705959273
"16068";32.9060189867248;32.9060189867248
"16008";24.1726064302725;24.1726064302725
"16400";37.3014860083419;37.3014860083419
"16363";60.5632042989889;60.5632042989889
"16361";34.8095216635529;34.8095216635529
"16158";21.1296221415214;21.1296221415214
"16203";27.8687406230624;27.8687406230624
"16188";36.5672970177221;36.5672970177221
"16268";36.185313751547;36.185313751547
"16229";48.1413005106192;48.1413005106192
"16198";17.6203666843358;17.6203666843358
"16364";40.778714189384;40.778714189384
"16043";17.0668223339756;17.0668223339756
"16005";29.173280014011;29.173280014011
"16042";34.9014471066994;34.9014471066994
"16368";15.182390302348;15.182390302348
"16128";55.9551553641439;55.9551553641439
"16373";36.7079767801934;36.7079767801934
"16397";32.0237984929828;32.0237984929828
"16320";14.5827498912754;14.5827498912754
"16075";17.5514663328752;17.5514663328752
"16317";36.6464168941606;36.6464168941606
"16212";42.3818207952573;42.3818207952573
"16055";13.7254072885254;13.7254072885254
"16133";18.0012131072834;18.0012131072834
"16412";17.9386071281577;17.9386071281577
"16382";10.0105284664668;10.0105284664668
"16378";46.9610829206289;46.9610829206289
"16259";45.2098764229038;45.2098764229038
"16345";46.4039920616673;46.4039920616673
"16221";28.8286352040122;28.8286352040122
"16391";36.0307917663228;36.0307917663228
"16375";36.3182703427083;36.3182703427083
"16379";25.4716977334782;25.4716977334782
"16054";48.1707233197179;48.1707233197179
