i_elst;libel_lg;libel_crt;tc_abs;NOM_TCABS;num_TC;TGI;D_TC
100316;Tribunal de Commerce de Sète;SETE;1;MONTPELLIER;100314;0;1
100317;Tribunal de Commerce de Rennes;RENNES;3;RENNES;100317;0;1
100318;Tribunal de Commerce de Saint-Malo;SAINT MALO;0;SAINT MALO;100318;0;1
100319;Tribunal de Commerce de Châteauroux;CHATEAUROUX;3;CHATEAUROUX;100319;0;1
100321;Tribunal de Commerce de Tours;TOURS;3;TOURS;100321;0;1
100322;Tribunal de Commerce de Grenoble;GRENOBLE;3;GRENOBLE;100322;0;1
100323;Tribunal de Commerce de Vienne;VIENNE;0;VIENNE;100323;0;1
100324;Tribunal de Commerce de Dôle;DOLE;1;LONS LE SAUNIER;100325;0;1
100325;Tribunal de Commerce de Lons-le-Saunier;LONS LE SAUNIER;0;LONS LE SAUNIER;100325;0;1
100327;Tribunal de Commerce de Dax;DAX;3;DAX;100327;0;1
100328;Tribunal de Commerce de Mont-de-Marsan;MONT DE MARSAN;3;MONT DE MARSAN;100328;0;1
100329;Tribunal de Commerce de Blois;BLOIS;3;BLOIS;100329;0;1
100331;Tribunal de Commerce de Roanne;ROANNE;3;ROANNE;100331;0;1
100332;Tribunal de Commerce de Saint-Etienne;SAINT ETIENNE;0;SAINT ETIENNE;100332;0;1
100334;Tribunal de Commerce du Puy-en-Vélay;LE PUY EN VELAY;3;LE PUY EN VELAY;100334;0;1
100335;Tribunal de Commerce de Nantes;NANTES;3;NANTES;100335;0;1
100336;Tribunal de Commerce de Saint-Nazaire;SAINT NAZAIRE;3;SAINT NAZAIRE;100336;0;1
100338;Tribunal de Commerce d'Orléans;ORLEANS;0;ORLEANS;100338;0;1
100339;Tribunal de Commerce de Cahors;CAHORS;3;CAHORS;100339;0;1
100340;Tribunal de Commerce d'Agen;AGEN;0;AGEN;100340;0;1
100341;Tribunal de Commerce de Marmande;MARMANDE;1;AGEN;100340;0;1
100343;Tribunal de Commerce de Villeneuve-sur-Lot;VILLENEUVE SUR LOT;1;AGEN;100340;0;1
100344;Tribunal de Commerce d'Angers;ANGERS;0;ANGERS;100344;0;1
100345;Tribunal de Commerce de Saumur;SAUMUR;1;ANGERS;100344;0;1
100346;Tribunal de Commerce de Cherbourg-en-Cotentin;CHERBOURG;3;CHERBOURG OCTEVILLE;100346;0;1
100347;Tribunal de Commerce de Coutances;COUTANCES;3;COUTANCES;100347;0;1
100350;Tribunal de Commerce de Châlons-en-Champagne;CHALONS EN CHAMPAGNE;3;CHALONS EN CHAMPAGNE;100350;0;1
100351;Tribunal de Commerce d'Epernay;EPERNAY;1;REIMS;100352;0;1
100352;Tribunal de Commerce de Reims;REIMS;0;REIMS;100352;0;1
100353;Tribunal de Commerce de Chaumont;CHAUMONT;0;CHAUMONT;100353;0;1
100355;Tribunal de Commerce de Saint-Dizier;SAINT DIZIER;1;CHAUMONT;100353;0;1
100356;Tribunal de Commerce de Laval;LAVAL;3;LAVAL;100356;0;1
100358;Tribunal de Commerce de Val de Briey;BRIEY;3;BRIEY;100358;0;1
100359;Tribunal de Commerce de Nancy;NANCY;3;NANCY;100359;0;1
100360;Tribunal de Commerce de Bar-le-Duc;BAR LE DUC;0;BAR LE DUC;100360;0;1
100361;Tribunal de Commerce de Verdun;VERDUN;1;BAR LE DUC;100360;0;1
100362;Tribunal de Commerce de Lorient;LORIENT;3;LORIENT;100362;0;1
100363;Tribunal de Commerce de Vannes;VANNES;3;VANNES;100363;0;1
100365;Tribunal de Commerce de Nevers;NEVERS;3;NEVERS;100365;0;1
100367;Tribunal de Commerce de Douai;DOUAI;0;DOUAI;100367;0;1
100368;Tribunal de Commerce de Dunkerque;DUNKERQUE;0;DUNKERQUE;100368;0;1
100369;Tribunal de Commerce de Lille;LILLE;3;LILLE;100369;0;1
100370;Tribunal de Commerce de Roubaix-Toucoing;ROUBAIX;3;ROUBAIX;100370;0;1
100371;Tribunal de Commerce de Valenciennes;VALENCIENNES;0;VALENCIENNES;100371;0;1
100372;Tribunal de Commerce de Beauvais;BEAUVAIS;3;BEAUVAIS;100372;0;1
100373;Tribunal de Commerce de Compiègne;COMPIEGNE;0;COMPIEGNE;100373;0;1
100374;Tribunal de Commerce de Senlis;SENLIS;1;COMPIEGNE;100373;0;1
100375;Tribunal de Commerce d'Alençon;ALENCON;0;ALENCON;100375;0;1
100376;Tribunal de Commerce d'Argentan;ARGENTAN;1;ALENCON;100375;0;1
100380;Tribunal de Commerce d'Arras;ARRAS;0;ARRAS;100380;0;1
100381;Tribunal de Commerce de Boulogne-sur-Mer;BOULOGNE SUR MER;0;BOULOGNE SUR MER;100381;0;1
100382;Tribunal de Commerce de Calais;CALAIS;1;BOULOGNE SUR MER;100381;0;1
100383;Tribunal de Commerce de Saint-Omer;SAINT OMER;1;BOULOGNE SUR MER;100381;0;1
100386;Tribunal de Commerce de Clermont-Ferrand;CLERMONT FERRAND;0;CLERMONT FERRAND;100386;0;1
100388;Tribunal de Commerce de Riom;RIOM;1;CLERMONT FERRAND;100386;0;1
100389;Tribunal de Commerce de Thiers;THIERS;1;CLERMONT FERRAND;100386;0;1
100390;Tribunal de Commerce de Bayonne;BAYONNE;3;BAYONNE;100390;0;1
100391;Tribunal de Commerce d'Oloron-Sainte-Marie;OLORON SAINTE MARIE;1;PAU;100392;0;1
100392;Tribunal de Commerce de Pau;PAU;0;PAU;100392;0;1
100393;Tribunal de Commerce de Bagnères-de-Bigorre;BAGNERES DE BIGORRE;1;TARBES;100394;0;1
100394;Tribunal de Commerce de Tarbes;TARBES;0;TARBES;100394;0;1
100395;Tribunal de Commerce de Perpignan;PERPIGNAN;3;PERPIGNAN;100395;0;1
100396;Tribunal de Commerce de Lyon;LYON;3;LYON;100396;0;1
100398;Tribunal de Commerce de Villefranche-Tarare;VILLEFRANCHE TARARE;3;VILLEFRANCHE TARARE;100398;0;1
100401;Tribunal de Commerce de Chalon-sur-Saône;CHALON SUR SAONE;0;CHALON SUR SAONE;100401;0;1
100403;Tribunal de Commerce du Creusot;LE CREUSOT;1;CHALON SUR SAONE;100401;0;1
100405;Tribunal de Commerce de Mâcon;MACON;3;MACON;100405;0;1
100407;Tribunal de Commerce de Mamers;MAMERS;1;LE MANS;100408;0;1
100408;Tribunal de Commerce du Mans;LE MANS;0;LE MANS;100408;0;1
100409;Tribunal de Commerce de Chambéry;CHAMBERY;0;CHAMBERY;100409;0;1
100411;Tribunal de Commerce de Dieppe;DIEPPE;0;DIEPPE;100411;0;1
100412;Tribunal de Commerce d'Elbeuf;ELBEUF;1;ROUEN;100418;0;1
100416;Tribunal de Commerce du Havre;LE HAVRE;3;LE HAVRE;100416;0;1
100417;Tribunal de Commerce de Neufchâtel-en-Bray;NEUFCHATEL EN BRAY;1;DIEPPE;100411;0;1
100418;Tribunal de Commerce de Rouen;ROUEN;0;ROUEN;100418;0;1
100420;Tribunal de Commerce de Meaux;MEAUX;3;MEAUX;100420;0;1
100421;Tribunal de Commerce de Melun;MELUN;0;MELUN;100421;0;1
100422;Tribunal de Commerce de Montereau-Fault-Yonne;MONTEREAU;1;MELUN;100421;0;1
100423;Tribunal de Commerce de Provins;PROVINS;1;MELUN;100421;0;1
100424;Tribunal de Commerce de Versailles;VERSAILLES;3;VERSAILLES;100424;0;1
100425;Tribunal de Commerce de Niort;NIORT;0;NIORT;100425;0;1
100426;Tribunal de Commerce d'Abbeville;ABBEVILLE;1;AMIENS;100427;0;1
100427;Tribunal de Commerce d'Amiens;AMIENS;0;AMIENS;100427;0;1
100429;Tribunal de Commerce d'Albi;ALBI;3;ALBI;100429;0;1
100430;Tribunal de Commerce de Castres;CASTRES;3;CASTRES;100430;0;1
100431;Tribunal de Commerce de Montauban;MONTAUBAN;3;MONTAUBAN;100431;0;1
100432;Tribunal de Commerce de Brignoles;BRIGNOLES;1;DRAGUIGNAN;100433;0;1
100433;Tribunal de Commerce de Draguignan;DRAGUIGNAN;0;DRAGUIGNAN;100433;0;1
100434;Tribunal de Commerce de Fréjus;FREJUS;0;FREJUS;100434;0;1
100435;Tribunal de Commerce de Saint-Tropez;SAINT TROPEZ;1;FREJUS;100434;0;1
100436;Tribunal de Commerce de Toulon;TOULON;3;TOULON;100436;0;1
100437;Tribunal de Commerce d'Avignon;AVIGNON;0;AVIGNON;100437;0;1
100438;Tribunal de Commerce de La Roche-Sur-Yon;LA ROCHE SUR YON;3;LA ROCHE SUR YON;100438;0;1
100440;Tribunal de Commerce de Poitiers;POITIERS;3;POITIERS;100440;0;1
100441;Tribunal de Commerce de Limoges;LIMOGES;3;LIMOGES;100441;0;1
100442;Tribunal de Commerce d'Epinal;EPINAL;0;EPINAL;100442;0;1
100443;Tribunal de Commerce de Mirecourt;MIRECOURT;1;EPINAL;100442;0;1
100444;Tribunal de Commerce de Saint-Dié-des-Vosges;SAINT DIE DES VOSGES;1;EPINAL;100442;0;1
100445;Tribunal de Commerce d'Auxerre;AUXERRE;3;AUXERRE;100445;0;1
100446;Tribunal de Commerce de Joigny;JOIGNY;1;SENS;100447;0;1
100447;Tribunal de Commerce de Sens;SENS;0;SENS;100447;0;1
100448;Tribunal de Commerce de Belfort;BELFORT;0;BELFORT;100448;0;1
100449;Tribunal de Commerce d'Evry;EVRY;3;EVRY;100449;0;1
100450;Tribunal de Commerce de Nanterre;NANTERRE;3;NANTERRE;100450;0;1
100451;Tribunal de Commerce de Bobigny;BOBIGNY;3;BOBIGNY;100451;0;1
100452;Tribunal de Commerce de Créteil;CRETEIL;3;CRETEIL;100452;0;1
100453;Tribunal de Commerce de Pontoise;PONTOISE;3;PONTOISE;100453;0;1
102067;Tribunal de Grande Instance à Compétence Commerciale de Belley;BELLEY;1;BOURG EN BRESSE;100224;1;0
102084;Tribunal de Grande Instance à Compétence Commerciale de Laon;LAON;1;SAINT QUENTIN;100226;1;0
102123;Tribunal de Grande Instance à Compétence Commerciale de Digne-les-Bains;DIGNE;1;MANOSQUE;100232;1;0
102333;Tribunal de Grande Instance à Compétence Commerciale de Dinan;DINAN;1;SAINT MALO;100318;1;0
102339;Tribunal de Grande Instance à Compétence Commerciale de Guingamp;GUINGAMP;1;SAINT BRIEUC;100287;1;0
102387;Tribunal de Grande Instance à Compétence Commerciale de Montbéliard;MONTBELIARD;1;BELFORT;100448;1;0
102397;Tribunal de Grande Instance à Compétence Commerciale de Valence;VALENCE;1;ROMANS SUR ISERE;100293;1;0
102538;Tribunal de Grande Instance à Compétence Commerciale de Bourgoin-Jallieu;BOURGOIN JALLIEU;1;VIENNE;100323;1;0
102595;Tribunal de Grande Instance à Compétence Commerciale de Montbrison;MONTBRISON;1;SAINT ETIENNE;100332;1;0
102791;Tribunal de Grande Instance de Metz  Chambre Commerciale;METZ;3;METZ;102791;1;0
102799;Tribunal de Grande Instance de Sarreguemines Chambre Commerciale;SARREGUEMINES;3;SARREGUEMINES;102799;1;0
102807;Tribunal de Grande Instance de Thionville  Chambre Commerciale;THIONVILLE;3;THIONVILLE;102807;1;0
102824;Tribunal de Grande Instance à Compétence Commerciale d'Avesnes-sur-Helpe;AVESNES SUR HELPE;1;VALENCIENNES;100371;1;0
102852;Tribunal de Grande Instance à Compétence Commerciale d'Hazebrouck;HAZEBROUCK;1;DUNKERQUE;100368;1;0
102914;Tribunal de Grande Instance à Compétence Commerciale de Béthune;BETHUNE;1;ARRAS;100380;1;0
102982;Tribunal de Grande Instance de Saverne  Chambre Commerciale;SAVERNE;3;SAVERNE;102982;1;0
102990;Tribunal de Grande Instance de Strasbourg  Chambre Commerciale;STRASBOURG;3;STRASBOURG;102990;1;0
102998;Tribunal de Grande Instance de Colmar  Chambre Commerciale;COLMAR;3;COLMAR;102998;1;0
103006;Tribunal de Grande Instance de Mulhouse  Chambre Commerciale;MULHOUSE;3;MULHOUSE;103006;1;0
103069;Tribunal de Grande Instance à Compétence Commerciale d'Albertville;ALBERTVILLE;1;CHAMBERY;100409;1;0
103160;Tribunal de Grande Instance à Compétence Commerciale de Bressuire;BRESSUIRE;1;NIORT;100425;1;0
103187;Tribunal de Grande Instance à Compétence Commerciale de Péronne;PERONNE;1;AMIENS;100427;1;0
103239;Tribunal de Grande Instance à Compétence Commerciale de Carpentras;CARPENTRAS;1;AVIGNON;100437;1;0
103397;Tribunal de Grande Instance à Compétence Commerciale de Saint-Pierre;SAINT PIERRE;0;SAINT PIERRE;103397;1;0
907441;Tribunal Mixte de Commerce de Pointe-à-Pitre;POINTE A PITRE;3;POINTE A PITRE;907441;2;0
907442;Tribunal Mixte de Commerce de Saint-Denis-de-La Réunion;SAINT DENIS DE LA REUNION;3;SAINT DENIS DE LA REUNION;907442;2;0
907443;Tribunal Mixte de Commerce de Fort-de-France;FORT DE France;3;FORT DE France;907443;2;0
907444;Tribunal Mixte de Commerce de Basse-Terre;BASSE TERRE;3;BASSE TERRE;907444;2;0
912399;Tribunal Mixte de Commerce de Cayenne;CAYENNE;3;CAYENNE;912399;2;0
915274;Tribunal de Commerce de Paris;PARIS;3;PARIS;915274;0;1
916804;Tribunal Mixte de Commerce de Nouméa;NOUMEA;3;NOUMEA;916804;2;0
917412;Tribunal Mixte de Commerce de Papeete;PAPEETE;3;PAPEETE;917412;2;0
917414;Tribunal de Première Instance à Compétence Commerciale de Mata-Utu;MATA UTU;3;MATA UTU;917414;1;0
917769;Tribunal de Première Instance à Compétence Commerciale de Saint-Pierre-et-Miquelon;SAINT PIERRE ET MIQUELON;3;SAINT PIERRE ET MIQUELON;917769;1;0
917770;Tribunal de Première Instance à Compétence Commerciale de Mamoudzou;MAMOUDZOU;3;MAMOUDZOU;917770;1;0
919321;Tribunal de Commerce de Vesoul-Gray;VESOUL;3;VESOUL;919321;0;1
937484;Tribunal de commerce de Guéret;GUERET;2;GUERET;937484;0;1
937485;Tribunal de commerce d'Annecy;ANNECY;2;ANNECY;937485;0;1
937486;Tribunal de commerce de Thonon-les-Bains;THONON LES BAINS;2;THONON LES BAINS;937486;0;1
937487;Tribunal de commerce de Mende;MENDE;2;MENDE;937487;0;1
937488;Tribunal de commerce de Bernay;BERNAY;2;BERNAY;937488;0;1
937489;Tribunal mixte de commerce de Saint-Pierre de la Réunion;SAINT PIERRE DE LA REUNION;1;SAINT PIERRE DE LA REUNION;937489;2;0
941890;Tribunal Mixte de Commerce de Mamoudzou;MAMOUDZOU;3;MAMOUDZOU;917770;2;0
